,C,gamma,kernel,Accuracy
0,0.1,0.0001,rbf,0.5593265069220382
1,0.1,0.01,rbf,0.9557959158316186
2,0.1,1.0,rbf,0.19553059200002218
3,0.1,10.0,rbf,0.11251020375886557
4,1.0,0.0001,rbf,0.9199184172583886
5,1.0,0.01,rbf,0.9733469520808171
6,1.0,1.0,rbf,0.35477557005690064
7,1.0,10.0,rbf,0.11251020375886557
8,10.0,0.0001,rbf,0.95091836772254
9,10.0,0.01,rbf,0.9821836734545473
10,10.0,1.0,rbf,0.38485717441406414
11,10.0,10.0,rbf,0.11251020375886557
12,50.0,0.0001,rbf,0.9608571611498617
13,50.0,0.01,rbf,0.9825714327217575
14,50.0,1.0,rbf,0.38485717441406414
15,50.0,10.0,rbf,0.11251020375886557
16,100.0,0.0001,rbf,0.9633061307481073
17,100.0,0.01,rbf,0.9823877605016705
18,100.0,1.0,rbf,0.38485717441406414
19,100.0,10.0,rbf,0.11251020375886557
