,C,degree,gamma,kernel,Accuracy
0,0.1,4,0.0001,poly,0.11251020375886557
1,0.1,4,0.01,poly,0.9558571628116354
2,0.1,4,1.0,poly,0.9815510099806802
3,0.1,4,10.0,poly,0.9815714173109932
4,0.1,5,0.0001,poly,0.11251020375886557
5,0.1,5,0.01,poly,0.9535714506064403
6,0.1,5,1.0,poly,0.981551012479588
7,0.1,5,10.0,poly,0.981551012479588
8,1.0,4,0.0001,poly,0.11251020375886557
9,1.0,4,0.01,poly,0.9757142986050799
10,1.0,4,1.0,poly,0.9815510099806802
11,1.0,4,10.0,poly,0.9815714173109932
12,1.0,5,0.0001,poly,0.11251020375886557
13,1.0,5,0.01,poly,0.9757959329241476
14,1.0,5,1.0,poly,0.981551012479588
15,1.0,5,10.0,poly,0.981551012479588
16,10.0,4,0.0001,poly,0.11251020375886557
17,10.0,4,0.01,poly,0.9823673406768186
18,10.0,4,1.0,poly,0.9815510099806802
19,10.0,4,10.0,poly,0.9815714173109932
20,10.0,5,0.0001,poly,0.11251020375886557
21,10.0,5,0.01,poly,0.9820612132297685
22,10.0,5,1.0,poly,0.981551012479588
23,10.0,5,10.0,poly,0.981551012479588
24,50.0,4,0.0001,poly,0.11251020375886557
25,50.0,4,0.01,poly,0.9819591728298417
26,50.0,4,1.0,poly,0.9815510099806802
27,50.0,4,10.0,poly,0.9815714173109932
28,50.0,5,0.0001,poly,0.11251020375886557
29,50.0,5,0.01,poly,0.9818163177692886
30,50.0,5,1.0,poly,0.981551012479588
31,50.0,5,10.0,poly,0.981551012479588
32,100.0,4,0.0001,poly,0.11251020375886557
33,100.0,4,0.01,poly,0.9817346846996747
34,100.0,4,1.0,poly,0.9815510099806802
35,100.0,4,10.0,poly,0.9815714173109932
36,100.0,5,0.0001,poly,0.11251020375886557
37,100.0,5,0.01,poly,0.9816326442997477
38,100.0,5,1.0,poly,0.981551012479588
39,100.0,5,10.0,poly,0.981551012479588
